City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,19.73,33,0,6.69,US,1683655980
1,cabinda,-5.55,12.2,26.98,88,37,3.58,AO,1683656212
2,rayadrug,14.7,76.8667,26.46,65,100,2.27,IN,1683656213
3,whitehorse,60.7161,-135.0538,7.83,46,100,5.36,CA,1683655913
4,alta,69.9689,23.2717,8.59,77,0,3.09,NO,1683656214
5,cidade velha,14.9167,-23.6167,26.26,61,20,9.77,CV,1683656214
6,blackmans bay,-43.0167,147.3167,10.41,81,87,5.11,AU,1683655959
7,port-aux-francais,-49.35,70.2167,5.79,95,100,9.7,TF,1683655947
8,kolonia,50.9333,6.95,16.09,88,20,1.54,DE,1683656047
9,ribeira grande,38.5167,-28.7,18.22,94,75,5.81,PT,1683656215
10,longyearbyen,78.2186,15.6401,-1.09,74,75,2.57,SJ,1683656215
11,rio gallegos,-51.6226,-69.2181,8.03,46,20,4.12,AR,1683656127
12,edinburgh of the seven seas,-37.0676,-12.3116,14.33,71,68,10.04,SH,1683656216
13,puerto ayora,-0.7393,-90.3518,28.98,92,55,4.02,EC,1683656216
14,grytviken,-54.2811,-36.5092,0.89,90,100,2.18,GS,1683656216
15,port alfred,-33.5906,26.891,17.32,93,44,3.01,ZA,1683655952
16,utrik,11.2278,169.8474,27.08,82,99,6.16,MH,1683656217
17,invercargill,-46.4,168.35,8.34,95,83,1.34,NZ,1683656217
18,georgetown,5.4112,100.3354,29.97,82,20,1.54,MY,1683656137
19,lihue,21.9789,-159.3672,24.58,85,100,7.2,US,1683656203
20,tiksi,71.6872,128.8694,0.14,81,57,13.53,RU,1683656218
21,warangal,18.0,79.5833,28.75,59,93,4.65,IN,1683656219
22,yellowknife,62.456,-114.3525,14.29,58,75,2.57,CA,1683655924
23,cartagena,10.3997,-75.5144,31.79,70,20,5.66,CO,1683656216
24,uturoa,-16.7333,-151.4333,27.48,72,77,1.8,PF,1683656073
25,holualoa,19.6228,-155.9522,22.1,87,51,0.89,US,1683656014
26,papatowai,-46.5619,169.4708,7.9,91,100,1.78,NZ,1683656110
27,port mathurin,-19.6833,63.4167,25.8,70,15,8.06,MU,1683655957
28,alaghsas,17.0187,8.0168,37.94,14,0,4.63,NE,1683655987
29,gebeit,21.0667,36.3167,23.51,47,0,4.07,SD,1683656221
30,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,84,40,2.06,BR,1683656221
31,waitangi,-43.9535,-176.5597,16.01,95,100,5.36,NZ,1683655956
32,port macquarie,-31.4333,152.9167,12.16,78,45,4.62,AU,1683656003
33,beira,-19.8436,34.8389,24.05,100,20,1.54,MZ,1683656222
34,jamaame,0.0697,42.745,26.53,79,45,4.38,SO,1683656223
35,talnakh,69.4865,88.3972,-22.18,100,86,1.9,RU,1683655978
36,aldinga beach,-35.2793,138.4604,13.57,83,7,2.29,AU,1683656229
37,bikenibeu village,1.3673,173.1241,26.98,89,75,1.03,KI,1683656230
38,contai,21.7786,87.7536,29.17,77,1,5.01,IN,1683656230
39,tolanaro,-25.0319,46.9987,22.81,89,100,4.78,MG,1683656231
40,pozoblanco,38.3791,-4.8483,26.12,29,93,6.18,ES,1683656232
41,cudillero,43.5622,-6.1459,16.48,78,75,6.69,ES,1683656233
42,salalah,17.0151,54.0924,29.05,70,0,1.03,OM,1683656233
43,port lincoln,-34.7333,135.8667,14.51,76,45,3.72,AU,1683655935
44,polyarnyy,69.1989,33.4478,0.91,99,100,1.87,RU,1683656234
45,college,64.8569,-147.8028,10.18,46,75,2.06,US,1683656235
46,kodiak,57.79,-152.4072,5.73,93,100,4.63,US,1683656235
47,paramonga,-10.6667,-77.8333,24.26,76,82,4.63,PE,1683656236
48,port elizabeth,-33.918,25.5701,16.17,95,25,1.54,ZA,1683656236
49,daru,-9.0763,143.2092,25.36,94,100,6.87,PG,1683656237
50,bulayevo,54.9056,70.4439,5.07,42,91,3.0,KZ,1683656237
51,kencong,-8.2833,113.3667,25.14,92,100,1.06,ID,1683656238
52,sitka,57.0531,-135.33,8.94,71,20,2.06,US,1683655998
53,east london,-33.0153,27.9116,15.52,100,0,1.54,ZA,1683656238
